id,Organisations,Locations
645275,"['Nomura', 'SoFi', 'SoftBank']","['US', 'Singapore', 'Asia', 'Europe', 'China']"
645362,['Fintech'],"['Germany', 'Singapore', 'Europe', 'Indonesia', 'Unicorns', 'Spain', 'China']"
645356,[],['QuuBe']
644804,[],"['Singapore', 'Indonesia']"
645310,['Iglooworks'],['Singapore']
645358,"['Mayora', 'Kargo', 'Unilever', 'DHL']","['Surabaya', 'KrAsia', 'Malaysia', 'Lazada', 'Vietnam', 'Thailand', 'Indonesia', 'China', 'Jakarta']"
645307,"['VC', 'InterviewBit', 'Twitter', 'RedDoorz', 'Anand', 'SoftBank']","['US', 'Singapore', 'Asia', 'Byju', 'India', 'Anand', 'Tech']"
645206,"['Google', 'Alibaba', 'SoftBank']","['US', 'Fujian', 'Shanghai', 'Guangzhou', 'Jiangsu', 'Alipay', 'Shandong', 'Zhejiang', 'Beijing', 'Canton', 'Alibaba', 'China', 'Hangzhou']"
645311,"['Swiggy', 'Itilite', 'AI', 'Ola']","['Bangalore', 'US', 'India', 'Jockey']"
645261,[],"['Milan', 'US', 'London', 'Japan', 'Asia', 'Europe', 'Paris', 'Lazada', 'Berlin']"
645286,"['GrabMart', 'GrabAssistant']","['Singapore', 'Myanmar', 'Cambodia', 'Philippines', 'Malaysia', 'Vietnam', 'Thailand', 'Indonesia']"
645191,[],"['US', 'Singapore', 'Asia', 'Zilingo', 'Europe', 'Bangkok', 'Australia', 'EDBI', 'Sofina']"
645259,"['app', 'Facebook', 'RIL', 'WhatsApp', 'Reuters', 'Ovo']","['Asia', 'India', 'Indonesia', 'GoPay']"
645132,"['Gojek', 'Moka', 'GoBiz', 'KoinWorks', 'KPPU', 'Ovo']","['Indoensia', 'LinkAja', 'Asia', 'Akulaku', 'Dana', 'Kredivo', 'GoPay', 'Indonesia']"
645200,"['Sony', 'Pinduoduo', 'Gree', 'Haier', 'Siemens']","['Pinduoduo', 'Beijing', 'China']"
645210,"['Baidu', 'Alibaba', 'Microsoft']","['US', 'China']"
645165,"['Twitter', 'Seghete', 'app']",[]
645173,['Seedcamp'],"['Adecco', 'Singapore', 'London', 'Talkpush', 'Colombia']"
644951,"['GlycoLeap', 'ASEAN', 'Biofourmis']","['Singapore', 'AI', 'Asia', 'Biofourmis', 'India', 'Malaysia', 'China']"
644460,['CRM'],['Intercom']
645058,"['RupiahPlus', 'TaniFund', 'fintech', 'app', 'TokoTunai', 'AFPI', 'OJK', 'digital', 'Mekar', 'iGrow', 'Beenext', 'KoinWorks', 'Cicil', 'NPL']","['US', 'Asia', 'OJK', 'Kredivo', 'India', 'Asetku', 'Vietnam', 'Indonesia', 'China', 'Jakarta']"
644902,"['Sony', 'Microsoft', 'Condom', 'Yahoo', 'Lockdowns', 'CNN', 'Apple', 'Video']","['Airbnb', 'US', 'Asia', 'Europe', 'India', 'China']"
645110,"['SEO', 'Saberwal', 'Taslim']",['Asia']
644845,"['app', 'Douyin', 'Facebook', 'WhatsApp', 'Bytedance']","['Asia', 'US', 'China']"
644997,[],"['Asia', 'Indonesia']"
645010,[],['Japan']
645072,"['AMR', 'AI', 'AISpeech', 'SFMap', 'RPA', 'MinoSpace', 'iiMedia', 'Toyota', 'Orderplus', 'MediaTek', 'Frontier', 'Encoo', 'SoftBank']","['Foxconn', 'AI', 'Yizhun', 'Shanghai', 'Alibaba', 'Ctrip', 'Xiaomi', 'Zhejiang', 'Beijing', 'China', 'Guangzhou', 'Laiye', 'SF', 'US', 'edtech', 'Shenzhen', 'Europe', 'Xiaomawang', 'KrAsia']"
645008,"['SME', 'USD', 'SGD', 'UangTeman', 'Glassdoor']","['Singapore', 'Asia', 'Akulaku', 'Kredivo', 'Glassdoor', 'Malaysia', 'Indonesia']"
645021,"['fintech', 'app', 'Facebook', 'RIL', 'WhatsApp', 'JioMoney']",['India']
644831,"['Carro', 'VC', 'Quest', 'ShopBack', 'StyleTheory', 'Carousell', 'Kazakh', 'Xfers', 'QazTech']","['Singapore', 'Myanmar', 'Asia', 'Kazakhstan', 'Philippines', 'Vietnam', 'Indonesia']"
644803,"['Gartner', 'AI']","['US', 'Europe', 'India', 'Bahasa', 'Hindi']"
644982,"['Previse', 'InstantPay', 'fintech', 'Christensen']","['Asia', 'Singapore', 'UK', 'AI']"
644952,"['CAR', 'AI', 'Biofourmis', 'Crunchbase', 'Biovitals', 'Digital']","['Japan', 'Singapore', 'US']"
644957,"['SIG', 'Microsoft']","['Singapore', 'AI', 'Asia', 'Europe', 'Novade', 'Japan', 'China']"
644640,"['AngelCentral', 'Facebook', 'Amazon', 'Google', 'Apple']","['Alibaba', 'West', 'East']"
644922,"['Facebook', 'Amazon', 'Google', 'Bytedance', 'Alibaba', 'Grab', 'Laungani']","['Singapore', 'Asia', 'Alibaba', 'Uber', 'Razer', 'Lazada', 'Tech']"
644631,['Gojek'],['Asia']
644911,"['fintech', 'Visa']","['US', 'Singapore', 'Shanghai', 'London', 'Bangalore', 'Airwallex', 'Shenzhen', 'Melbourne', 'Europe', 'Beijing', 'Xero', 'Tokyo']"
644811,"['app', 'Microsoft', 'Amway', 'FarEye', 'Hilti', 'Serve', 'DHL', 'Dominos']","['US', 'India', 'Europe']"
644705,"['app', 'POS', 'Puzon', 'Shopee', 'Digital']","['Lazada', 'Philippines']"
644789,['Alibaba'],['KrAsia']
